title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Chuck O&#39;Donahue, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-04trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","79","tchp79","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/79","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/79.pdf","erika-b.github.io/tchp_dev/items/tchp79.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","80","tchp80","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/80","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/80.pdf","erika-b.github.io/tchp_dev/items/tchp80.html"
"History of the Tacoma Smelter and Its Workers","The interviews with both Curtis Dungey and Chuck O&#39;Donahue discuss their association with the Tacoma Smelter and ASARCO. O&#39;Donahue, who worked at the plant for over twenty years (1963-1985), also was active as a union leader for Local 25. Dungey was the senior environmental scientist for ASARCO who oversaw the closure of the plant.","","","1992","","","","","Dungey, Curtis--Interviews; O&#39;Donahue, Chuck--Interviews; American Smelting and Refining Company--History; Asarco Inc.--Employees--Interviews; International Union of Mine, Mill, and Smelter Workers. Local 25 (Tacoma, Wash.); Geochemists--Washington (State)--Tacoma--Interviews; Labor unions--Officials and employees--Interviews; Metal-workers--Washington (State)--Tacoma--Interviews; Mineral industries--Employees--Interviews; Smelting furnaces--Environmental aspects--Washington (State)--Tacoma; Tacoma (Wash.)--Economic conditions","","","University of Washington Tacoma Community History Project","","chp1992-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","81","tchp81","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/81","","erika-b.github.io/tchp_dev/items/tchp81.html"
"Rev. Kosho Yukawa, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","82","tchp82","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/82","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/82/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp82.html"
"Yaeko Nakano, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","83","tchp83","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/83","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/83/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp83.html"
"Susan Stout, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","84","tchp84","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/84","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/84.pdf","erika-b.github.io/tchp_dev/items/tchp84.html"
"Rev. Kosho Yukawa, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","85","tchp85","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/85","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/85.pdf","erika-b.github.io/tchp_dev/items/tchp85.html"
"Rev. Kosho Yukawa, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","86","tchp86","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/86","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/86","erika-b.github.io/tchp_dev/items/tchp86.html"
"Yaeko Nakano, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","87","tchp87","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/87","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/87.pdf","erika-b.github.io/tchp_dev/items/tchp87.html"
"Yaeko Nakano, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","88","tchp88","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/88","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/88","erika-b.github.io/tchp_dev/items/tchp88.html"
"Yaeko Nakano, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-06audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","89","tchp89","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/89","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/89","erika-b.github.io/tchp_dev/items/tchp89.html"
"Tacoma  - 1717 South Fawcett, Tacoma, WA: A Brief Historical Perspective","This project includes interviews with the then minister of Tacoma Buddhist Temple, Reverend Kosho Yukawa, and Mrs. Yaeko Nakano, a longtime member of Tacoma Buddhist Temple and its principal organist. Yukawa describes Buddhist religious practices, the activities of the Temple and its various organizations, his family, and Sunya Pratt. Nakano discusses her family life growing up as a Japanese American in Tacoma, Washington during the Depression, her education, internment experiences during the Second World War, her training and work as a musician, and her involvement with the Tacoma Buddhist Temple in many capacities.","","","1992","","","","","Yukawa, Kosho--Interviews; Nakano, Yaeko--Interviews; Pratt, Sunya; Buddhist Churches of America; Tacoma Buddhist Church; Tacoma Buddhist Temple; Japanese Americans--Washington (State)--Tacoma--Interviews; Buddhism--Washington (State)--Tacoma; Japanese American women--Washington (State)--Tacoma--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Religious leaders--Washington (State)--Tacoma--Interviews; Women organists--Washington (State)--Tacoma--Interviews; World War, 1939-1945--Washington (State); Tacoma (Wash.)--Ethnic relations--History--20th century; Tacoma (Wash.)--Race relations","","","University of Washington Tacoma Community History Project","","chp1992-06","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","90","tchp90","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/90","","erika-b.github.io/tchp_dev/items/tchp90.html"
"Leonard Holden, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","91","tchp91","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/91","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/91/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp91.html"
"Julius Jahn, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","92","tchp92","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/92","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/92/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp92.html"
"Juanita Hembrow, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","93","tchp93","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/93","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/93.pdf","erika-b.github.io/tchp_dev/items/tchp93.html"
"Leonard Holden, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","94","tchp94","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/94","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/94.pdf","erika-b.github.io/tchp_dev/items/tchp94.html"
"Leonard Holden, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","95","tchp95","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/95","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/95","erika-b.github.io/tchp_dev/items/tchp95.html"
"Leonard Holden, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","96","tchp96","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/96","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/96","erika-b.github.io/tchp_dev/items/tchp96.html"
"Leonard Holden, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","97","tchp97","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/97","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/97","erika-b.github.io/tchp_dev/items/tchp97.html"
"Julius Jahn, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-07trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","98","tchp98","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/98","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/98.pdf","erika-b.github.io/tchp_dev/items/tchp98.html"
